 ,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
12,8512503,2956085,3061935,3370400,3034206,3030967,2975402,3019622,2989516,2999804,3027879,2979979,0,3009489,2984566,2932897,2959304,3030631,2979287,2976266,2966576,3123351,2952329,2959031,2972391,2960892,2972750,3001180,3007519,3085899,3168546,2974143
13,8511983,2955565,3061415,3369880,3033686,3030447,2974882,3019102,2988996,2999284,3027359,2979459,3009489,0,2984046,2932377,2958784,3030111,2978767,2975746,2966056,3122831,2951809,2958511,2971871,2960372,2972230,3000660,3006999,3085379,3168026,2973623
14,8436276,2931154,3036012,3341597,3008539,3005332,2950279,2994083,2964265,2974457,3002276,2954824,2984566,2984046,0,2908190,2934341,3004996,2954132,2951143,2941549,3096852,2927430,2934068,2947300,2935929,2947659,2975833,2982108,3059752,3141631,2949052
15,8289387,2880445,2983443,3283628,2956450,2953303,2899210,2942234,2912956,2922968,2950307,2903695,2932897,2932377,2908190,0,2883572,2952967,2903003,2900074,2890660,3043203,2876781,2883299,2896291,2885160,2896650,2924344,2930499,3006763,3087202,2898043
16,8366578,2906340,3010330,3313395,2983081,2979902,2925297,2968737,2939171,2949279,2976874,2929814,2959304,2958784,2934341,2883572,0,2979566,2929122,2926161,2916651,3070666,2902644,2909226,2922346,2911087,2922705,2950655,2956874,3033874,3115081,2924098
17,8571213,2976323,3082917,3393542,3054996,3051733,2995784,3040316,3009994,3020354,3048621,3000385,3030631,3030111,3004996,2952967,2979566,0,2999693,2996648,2986886,3144765,2972543,2979293,2992749,2981154,2993108,3021730,3028117,3107049,3190272,2994501
18,8424649,2925939,3030673,3335898,3003232,3000029,2945040,2988792,2959010,2969190,2996977,2949581,2979287,2978767,2954132,2903003,2929122,2999693,0,2945904,2936322,3091441,2922219,2928849,2942065,2930710,2942424,2970566,2976833,3054385,3136168,2943817
19,8415280,2922982,3027592,3332457,3000183,2996984,2942059,2985759,2956013,2966181,2993936,2946596,2976266,2975746,2951143,2900074,2926161,2996648,2945904,0,2933353,3088288,2919266,2925888,2939088,2927749,2939447,2967557,2973816,3051276,3132963,2940840
20,8386546,2913484,3017722,3321507,2990409,2987222,2932489,2976033,2946395,2956527,2984186,2937014,2966576,2966056,2941549,2890660,2916651,2986886,2936322,2933353,0,3078202,2909780,2916378,2929530,2918239,2929889,2957903,2964138,3041322,3122721,2931282
21,8835329,3067315,3177257,3497602,3148472,3145101,3087424,3133360,3102066,3112750,3141881,3092133,3123351,3122831,3096852,3043203,3070666,3144765,3091441,3088288,3078202,0,3063427,3070393,3084281,3072254,3084640,3114126,3120729,3202145,3287960,3086033
22,8346907,2899493,3003235,3305580,2976050,2972879,2918402,2961738,2932244,2942328,2969859,2922911,2952329,2951809,2927430,2876781,2902644,2972543,2922219,2919266,2909780,3063427,0,2902371,2915459,2904232,2915818,2943704,2949907,3026723,3107738,2917211
23,8366305,2906067,3010057,3313122,2982808,2979629,2925024,2968464,2938898,2949006,2976601,2929541,2959031,2958511,2934068,2883299,2909226,2979293,2928849,2925888,2916378,3070393,2902371,0,2922073,2910814,2922432,2950382,2956601,3033601,3114808,2923825
24,8405057,2919171,3023657,3328162,2996280,2993085,2938224,2981872,2952162,2962318,2990041,2942757,2972391,2971871,2947300,2896291,2922346,2992749,2942065,2939088,2929530,3084281,2915459,2922073,0,2923934,2935616,2963694,2969945,3047313,3128904,2937009
25,8368166,2907928,3011918,3314983,2984669,2981490,2926885,2970325,2940759,2950867,2978462,2931402,2960892,2960372,2935929,2885160,2911087,2981154,2930710,2927749,2918239,3072254,2904232,2910814,2923934,0,2924293,2952243,2958462,3035462,3116669,2925686
26,8405416,2919530,3024016,3328521,2996639,2993444,2938583,2982231,2952521,2962677,2990400,2943116,2972750,2972230,2947659,2896650,2922705,2993108,2942424,2939447,2929889,3084640,2915818,2922432,2935616,2924293,0,2964053,2970304,3047672,3129263,2937368
27,8484630,2947448,3052926,3360311,3025293,3022066,2966693,3010757,2980759,2991011,3018990,2971258,3001180,3000660,2975833,2924344,2950655,3021730,2970566,2967557,2957903,3114126,2943704,2950382,2963694,2952243,2964053,0,2998702,3076806,3159165,2965446
28,8503665,2953659,3059385,3367490,3031688,3028453,2972952,3017120,2987050,2997326,3025369,2977525,3007519,3006999,2982108,2930499,2956874,3028117,2976833,2973816,2964138,3120729,2949907,2956601,2969945,2958462,2970304,2998702,0,3083321,3165872,2971697
29,8728049,3030567,3139145,3455530,3110712,3107385,3050412,3095776,3064878,3075430,3104209,3055077,3085899,3085379,3059752,3006763,3033874,3107049,3054385,3051276,3041322,3202145,3026723,3033601,3047313,3035462,3047672,3076806,3083321,0,3248484,3049065
30,8963048,3111678,3223232,3548257,3194031,3190608,3132099,3178711,3146949,3157789,3187336,3136860,3168546,3168026,3141631,3087202,3115081,3190272,3136168,3132963,3122721,3287960,3107738,3114808,3128904,3116669,3129263,3159165,3165872,3248484,0,3130656
31,8406809,2920923,3025409,3329914,2998032,2994837,2939976,2983624,2953914,2964070,2991793,2944509,2974143,2973623,2949052,2898043,2924098,2994501,2943817,2940840,2931282,3086033,2917211,2923825,2937009,2925686,2937368,2965446,2971697,3049065,3130656,0
